,roll1,roll2,roll3,roll4,roll5,roll6,roll7,roll8,roll9,roll10,roll11,roll12,roll13,roll14,roll15,roll16,roll17,roll18,roll19,roll20
0,1,0,1,2,0,2,1,2,1,1,2,1,2,1,2,1,1,1,2,1
1,1,1,0,1,2,0,2,1,2,1,1,2,1,2,1,2,1,1,1,2
2,1,1,1,0,1,2,0,2,1,2,1,1,2,1,2,1,2,1,1,1
3,2,1,1,1,0,1,2,0,2,1,2,1,1,2,1,2,1,2,1,1
4,2,2,1,1,1,0,1,2,0,2,1,2,1,1,2,1,2,1,2,1
5,2,2,2,1,1,1,0,1,2,0,2,1,2,1,1,2,1,2,1,2
6,1,2,2,2,1,1,1,0,1,2,0,2,1,2,1,1,2,1,2,1
7,1,1,2,2,2,1,1,1,0,1,2,0,2,1,2,1,1,2,1,2
8,1,1,1,2,2,2,1,1,1,0,1,2,0,2,1,2,1,1,2,1
9,2,1,1,1,2,2,2,1,1,1,0,1,2,0,2,1,2,1,1,2
10,1,2,1,1,1,2,2,2,1,1,1,0,1,2,0,2,1,2,1,1
11,1,1,2,1,1,1,2,2,2,1,1,1,0,1,2,0,2,1,2,1
12,2,1,1,2,1,1,1,2,2,2,1,1,1,0,1,2,0,2,1,2
13,1,2,1,1,2,1,1,1,2,2,2,1,1,1,0,1,2,0,2,1
14,1,1,2,1,1,2,1,1,1,2,2,2,1,1,1,0,1,2,0,2
15,2,1,1,2,1,1,2,1,1,1,2,2,2,1,1,1,0,1,2,0
16,0,2,1,1,2,1,1,2,1,1,1,2,2,2,1,1,1,0,1,2
17,2,0,2,1,1,2,1,1,2,1,1,1,2,2,2,1,1,1,0,1
18,2,2,0,2,1,1,2,1,1,2,1,1,1,2,2,2,1,1,1,0
19,2,2,2,0,2,1,1,2,1,1,2,1,1,1,2,2,2,1,1,1
20,2,2,2,2,0,2,1,1,2,1,1,2,1,1,1,2,2,2,1,1
21,2,2,2,2,2,0,2,1,1,2,1,1,2,1,1,1,2,2,2,1
22,1,2,2,2,2,2,0,2,1,1,2,1,1,2,1,1,1,2,2,2
23,2,1,2,2,2,2,2,0,2,1,1,2,1,1,2,1,1,1,2,2
24,1,2,1,2,2,2,2,2,0,2,1,1,2,1,1,2,1,1,1,2
25,2,1,2,1,2,2,2,2,2,0,2,1,1,2,1,1,2,1,1,1
26,1,2,1,2,1,2,2,2,2,2,0,2,1,1,2,1,1,2,1,1
27,2,1,2,1,2,1,2,2,2,2,2,0,2,1,1,2,1,1,2,1
28,1,2,1,2,1,2,1,2,2,2,2,2,0,2,1,1,2,1,1,2
29,1,1,2,1,2,1,2,1,2,2,2,2,2,0,2,1,1,2,1,1
30,2,1,1,2,1,2,1,2,1,2,2,2,2,2,0,2,1,1,2,1
31,2,2,1,1,2,1,2,1,2,1,2,2,2,2,2,0,2,1,1,2
32,1,2,2,1,1,2,1,2,1,2,1,2,2,2,2,2,0,2,1,1
33,2,1,2,2,1,1,2,1,2,1,2,1,2,2,2,2,2,0,2,1
34,2,2,1,2,2,1,1,2,1,2,1,2,1,2,2,2,2,2,0,2
35,1,2,2,1,2,2,1,1,2,1,2,1,2,1,2,2,2,2,2,0
36,0,1,2,2,1,2,2,1,1,2,1,2,1,2,1,2,2,2,2,2
37,1,0,1,2,2,1,2,2,1,1,2,1,2,1,2,1,2,2,2,2
38,2,1,0,1,2,2,1,2,2,1,1,2,1,2,1,2,1,2,2,2
39,2,2,1,0,1,2,2,1,2,2,1,1,2,1,2,1,2,1,2,2
40,1,2,2,1,0,1,2,2,1,2,2,1,1,2,1,2,1,2,1,2
